形参实参,形参是定义函数时，参数的变量***实参是调用函数时，传入的具体的值***函数被调用时，实参的值会赋予给形参,ABC,
函数调用的形式是什么,在函数名后面添加小括号***在函数名后面添加中括号***函数名后的符号叫做函数调用运算符,AC,
函数执行的流程,1. 进行函数调用后，程序的流程会转到被调用的函数处***2. 传递过来的实参的值会赋给函数接收的形参***3. 形参初始化完成后，将执行函数体***4. 程序流遇到 return 语句时，或者执行到函数体最后的大括号时，就会从该函数跳转到调用函数***5. return 中的值会被返回给执行函数,ABCDE,
值传递是什么,形参被赋予实参的值，通过值进行参数传的机制叫做值传递 pass by value,A,
void 是什么,没有返回值额函数类型，要声明为 void***void 就是空的意思,AB,
块作用域是什么,程序块中声明的变量名称，只在该程序块中通用，其它区域无效***变量的名称从变量声明的位置开始，到包含该声明的程序块的最后的大括号为止。,AB,
文件作用域是什么,函数外声明的变量标识符，其名称从声明的位置开始，到该程序的结尾都是通用的,A,
函数原型声明 function prototype declaration,被调用函数如果在调用函数的后面，则需要使用函数原型声明***在调用函数的前面明确记述函数的返回值、形参***函数原型声明需要定义函数的实体,ABC,
#include,#include 能够将 <stdio.h> 头文件中的全部内容都读取到程序中***包含库函数的函数原型声明的 stdio.h 称为头文件 header***#include 称为文件包含指令,ABC,
接收数组作为形参的函数，如果不想改变数组元素，应该如何做,"可以在定义时，添加 const 关键词。void print_array(const int arr[], int length)",A,
变量的生存期（存储期）——自动存储期,程序执行到对象声明的时候，就创建出对应的对象***执行到包含该声明的程序块结尾，对象消失***函数中不使用存储类说明符 static 而定义出的变量***如果不显示地今星期初始化，则对象会被初始化为不确定的值***对象拥有短暂的生命***auto 和 register 声明定义出来的变量，都赋予了自动存储期。auto 使用不使用是完全相同的。Register 会将变量保存到寄存器中，但是现代编译器已经是自动判断并优化存储了。,ABCDEF,
变量的生存期（存储期）——静态存储期,使用 static 定义出来的对象，或者在函数外声明定义出来的对象。（也就是文件作用域中的对象）***在程序开始执行的时候，也就是 main 函数执行之前的准备阶段被创建出来，在程序结束的时候消失。***对象拥有永久的声明***如果不显示初始化，会自动初始化为 0,ABCD,